chrom	chromStart	chromEnd	name
chr1	202318207	202391817	Ank_5
chr1	202318246	202385977	Ank_3
chr1	202318246	202385989	Ank
chr1	210560844	210796947	MBOAT
chr1	212860231	212870389	bZIP_Maf
chr1	212860237	212870395	bZIP_1
chr1	212860255	212870398	bZIP_2
chr1	220184389	220205733	tRNA-synt_1c
chr1	236966783	236992507	S-methyl_trans
chr1	241033387	241262023	DEP
chr1	246078927	246670477	SET
chr1	248512160	248512985	7tm_4
chr1	248512190	248512754	7tm_1
chr1	1571403	1573922	Pkinase
chr1	1571831	1573922	Pkinase_Tyr
chr1	2489834	2491314	TNFR_c6
chr1	7725223	7737735	TIG
chr1	8568721	8716047	BAH
chr1	9165628	9189032	7tm_2
chr1	9171355	9188978	7tm_1
chr1	9171400	9188858	Frizzled
chr1	9171445	9189044	Dicty_CAR
chr1	9305077	9307030	G6PD_N
chr1	10190632	10238812	Ufd2P_core
chr1	10338077	10355218	Kinesin_assoc
chr1	10555366	10683096	Pex14_N
chr1	11796289	11810228	AGTRAP
chr1	12052727	12059107	MMR_HSR1
chr1	12052730	12059110	Dynamin_N
chr1	12711315	12726320	Abhydrolase_3
chr1	15578331	15598980	FHA
chr1	15855684	15863005	DnaJ
chr1	17033866	17046523	Ank_2
chr1	17034485	17046526	Ank_4
chr1	17301417	17301510	ShK
chr1	17429488	17445866	PAD_N
chr1	17555460	17570726	PAD
chr1	18554426	18661446	V-set
chr1	20009877	20073716	DUF726
chr1	20009928	20066451	DUF900
chr1	21887207	21904036	Alk_phosphatase
chr1	22404974	22417944	Arf
chr1	22404983	22417959	Ras
chr1	23713846	23724339	TFIIS_M
chr1	24495940	24513711	Tissue_fac
chr1	24766661	24790564	Mg_trans_NIPA
chr1	25757592	25824945	Macoilin
chr1	26012930	26110235	Glyco_hydro_47
chr1	26737968	26751898	CSD
chr1	27648868	27660470	DUF778
chr1	29486944	29508255	RRM_1
chr1	32374530	32384579	Y_phosphatase
chr1	32374542	32381585	DSPc
chr1	33291763	33321618	S100PBPR
chr1	33415257	33429728	IBR
chr1	34076644	34080215	CUB
chr1	34312488	34383891	CUB
chr1	36043090	36107021	Proteasome
chr1	36299735	36316634	Piwi
chr1	37319227	37356644	ANF_receptor
chr1	38269975	38273624	Sua5_yciO_yrdC
chr1	38397672	38411980	INPP5B_PH
chr1	39317318	39325132	Gtr1_RagA
chr1	39321477	39325138	Arf
chr1	39696867	39723700	CH
chr1	39957759	39987127	TGFb_propeptide
chr1	40230409	40254061	TGFb_propeptide
chr1	42693604	42744156	Forkhead
chr1	43778013	43778241	fn3
chr1	44687286	44804767	RNase_T
chr1	45811219	45923274	Pkinase
chr1	45811621	45923274	Pkinase_Tyr
chr1	46512248	46532591	PI3K_P85_iSH2
chr1	46660516	46661719	ILEI
chr1	47533300	47583579	p450
chr1	47799743	47842387	Thymidylate_kin
chr1	48244154	48460251	TraB
chr1	48869512	48937647	SPATA6
chr1	51755723	51787457	DUF3808
chr1	51767243	51787457	DUF3808
chr1	52082791	52179727	PH
chr1	52082824	52179721	PH_8
chr1	52290986	52305921	Peptidase_M16
chr1	53995562	54059789	zf-C2H2
chr1	54233666	54301293	Ndc1_Nup
chr1	54387392	54405704	F5_F8_type_C
chr1	54693969	54867569	SSDP
chr1	57111108	57169659	Pkinase
chr1	57111111	57169647	Pkinase_Tyr
chr1	57399071	57415242	MACPF
chr1	57537251	57610989	PID
chr1	58971743	58999892	Peptidase_M48
chr1	59787251	60019797	FGGY_N
chr1	60019863	60139781	FGGY_C
chr1	60280828	60338607	HOOK
chr1	62257052	62263045	PDZ
chr1	63024885	63084387	DOCK-C2
chr1	64059201	64095674	PGM_PMM_I
chr1	65614114	65684549	AAA_18
chr1	65614117	65691755	ADK
chr1	65614120	65684549	AAA_17
chr1	67470106	67519567	TPT
chr1	67891825	67895971	IHABP4_N
chr1	70300490	70397241	LRR_8
chr1	70644572	70650554	LRR_8
chr1	70644647	70652970	LRR_5
chr1	70646841	70650482	LRR_1
chr1	70646862	70650551	LRR_4
chr1	70646871	70650566	LRR_8
chr1	72163706	72241948	Ig_2
chr1	72163730	72241975	I-set
chr1	72163736	72241978	Ig_3
chr1	72400765	72748042	I-set
chr1	74834770	74954908	Pkinase_Tyr
chr1	74834773	74954899	Pkinase
chr1	76282187	76347030	MutS_III
chr1	76877692	77094458	Glyco_transf_29
chr1	77952030	78001711	ADK
chr1	77952033	78001645	AAA_17
chr1	78245415	78340659	Miga
chr1	79412001	79470755	EGF_CA
chr1	82402445	82456826	Latrophilin
chr1	82434885	82447630	7tm_2
chr1	84387073	84415559	TTL
chr1	84647903	84679964	Pkinase
chr1	84647909	84679913	Pkinase_Tyr
chr1	84662299	84679913	Kinase-like
chr1	84791332	84815385	SAM_PNT
chr1	84791353	84815406	SAM_1
chr1	84791356	84815373	SAM_2
chr1	85279711	85331662	7tm_1
chr1	85816130	85930614	Amidinotransf
chr1	86227081	86249813	Collagen
chr1	86372879	86377107	Collagen
chr1	86499603	86557961	Collagen
chr1	87538702	87599298	Sulfotransfer_2
chr1	87538711	87563526	Gal-3-0_sulfotr
chr1	89250434	89270112	C2
chr1	89519076	89523699	GBP_C
chr1	89651077	89656968	GBP_C
chr1	93965027	93988967	FCH
chr1	95609598	95696458	TRAM_LAG1_CLN8
chr1	97658732	97981422	DHO_dh
chr1	97770914	97847996	Dus
chr1	98015163	98165022	Pyr_redox_2
chr1	98165088	98293734	Fer4_20
chr1	100133263	100155292	Paralemmin
chr1	100515503	100546107	MFS_1
chr1	100524263	100546134	MFS_1_like
chr1	104068776	104076405	RRM_1
chr1	104199555	104203078	Alpha-amylase
chr1	107691362	107867542	Laminin_N
chr1	108247682	108293755	PH
chr1	108322081	108507488	CH
chr1	108322090	108507401	CDC24
chr1	109294925	109351445	Sec1
chr1	109444463	109445748	TPR_7
chr1	109837736	109838942	I-set
chr1	109837757	109838900	ig
chr1	109837775	109838942	Ig_3
chr1	110230507	110231738	GST_N
chr1	110754796	110766347	Ion_trans
chr1	110884367	110888162	SPOC
chr1	111660886	111674152	Frag1
chr1	112329595	112524799	Ion_trans
chr1	112329619	112524364	Ion_trans_2
chr1	112958793	112998678	CortBP2
chr1	113068721	113161612	ST7
chr1	113637273	113650228	LRR_5
chr1	113638556	113642854	LRR_8
chr1	115398166	115520231	SCP-1
chr1	115593137	115632023	Tetraspannin
chr1	116243918	116311159	Calsequestrin
chr1	116243969	116287449	Thioredoxin_6
chr1	117948170	118065528	Glyco_hydro_47
chr1	119923744	119936448	FMN_dh
chr1	120839848	120854583	FAM72
chr1	144013923	144053587	FCH
chr1	144158200	144187625	DUF1220
chr1	144827893	145313502	DUF1220
chr1	145311125	145368609	DUF1220
chr1	145477395	145498748	LIX1
chr1	146656163	146696615	FMO-like
chr1	147442110	147465119	ABA_GPCR
chr1	148010896	148270252	DUF1220
chr1	149553098	149553563	Pro_isomerase
chr1	150039980	150116899	Sec1
chr1	150470182	150477192	tRNA-synt_2b
chr1	150727614	150737158	Inhibitor_I29
chr1	151780046	151786060	Hormone_recep
chr1	153615794	153617727	FoP_duplication
chr1	154744755	154841636	SK_channel
chr1	155036377	155058399	Ephrin
chr1	155051507	155058399	Ephrin
chr1	155317656	155322497	Bromodomain
chr1	155581081	155582706	Tubulin_3
chr1	156106149	156107459	LTD
chr1	156498314	156500004	RasGAP_C
chr1	156756705	156770249	PRCC
chr1	158596683	158604440	Spectrin
chr1	160160574	160171163	Calsequestrin
chr1	160164891	160171112	Thioredoxin_6
chr1	161070553	161087744	Prefoldin_2
chr1	162040060	162313693	PID
chr1	165218873	165322473	LIM
chr1	165797133	165876922	PRK
chr1	165797133	165872468	CoaE
chr1	166590056	166593920	FMO-like
chr1	166590128	166593023	Pyr_redox_2
chr1	166590140	166593023	Pyr_redox_3
chr1	166590164	166593014	K_oxygenase
chr1	166961984	166987133	Maelstrom
chr1	167887569	167904998	MPC
chr1	168032964	168034902	WD40
chr1	168153176	168168216	TIP41
chr1	168665819	168698286	DERM
chr1	169076082	169100769	Na_K-ATPase
chr1	169102037	169256580	NDK
chr1	169930199	170043605	KAP
chr1	170129699	170136877	Methyltransf_PK
chr1	172100314	172277952	PH
chr1	173526523	173570816	Na_H_Exchanger
chr1	174363196	174780990	RabGAP-TBC
chr1	176526298	176564045	Laminin_G_3
chr1	178753651	178846682	RasGEF
chr1	180217430	180235533	LIM
chr1	180601337	180651531	SPX
chr1	181453144	181680117	Ion_trans
chr1	182845277	182847261	Helicase_C
chr1	183221877	183387369	CTP_transf_like
chr1	183885775	183895321	RA
chr1	184023544	184041964	Sen15
chr1	185988674	185992242	Ig_3
chr1	185988704	185992275	Ig_2
chr1	185988713	185992281	I-set
chr1	185988731	185992260	ig
chr1	186115054	186123016	G2F
chr1	186901903	186948508	PLA2_B
chr1	190234090	190423864	MACPF
chr1	192129541	192153579	RGS
chr1	193181521	193219806	CDC73_C
chr1	196309675	196367714	BK_channel_a
chr1	197522176	197552368	dDENN
chr1	197641204	197684202	uDENN
chr1	198701482	198713215	Y_phosphatase
chr1	201054684	201081317	Ion_trans
chr1	201453897	201458039	LIM
chr1	202103615	202113634	Ras
chr1	202103618	202113667	Arf
chr1	202104329	202113634	Gtr1_RagA
chr1	202104600	202113637	SRPRB
chr1	202104627	202113634	Roc
chr1	202104633	202113631	MMR_HSR1
chr1	202194563	202270028	LRR_5
chr1	202194611	202266657	LRR_8
chr1	202197121	202266663	LRR_4
chr1	203682361	203689757	Hydrolase_3
chr1	205116778	205129387	Pkinase_Tyr
chr1	205116784	205129384	Pkinase
chr1	206681301	206711556	C1_1
chr1	207874871	207881604	Sushi
chr1	208272244	208276571	PSI
chr1	210977443	211192505	Ion_trans
chr1	210977461	211093105	Ion_trans_2
chr1	211923324	211952291	Acyltransf_C
chr1	212459617	212534031	B56
chr1	213224791	213277911	PX
chr1	215345402	215368408	Ion_trans_2
chr1	215741085	215751070	BTB_2
chr1	215853634	215901518	fn3
chr1	216258169	216270541	Laminin_G_1
chr1	216258172	216270541	Laminin_G_2
chr1	216498934	216595246	Laminin_G_3
chr1	216741435	216850511	zf-C4
chr1	220324667	220355604	RAB3GAP2_C
chr1	221879785	221912591	Rhodanese
chr1	223718194	223807043	Calpain_III
chr1	224804894	224922406	Cornichon
chr1	225268281	225328433	DHC_N2
chr1	225539380	225586953	Dynein_heavy
chr1	225965651	225977019	SRP9-21
chr1	226075731	226109608	P5CR_dimer
chr1	226352551	226374121	ACBP
chr1	226736734	226784678	Spec3
chr1	227333303	227441806	Pkinase
chr1	227333405	227441803	Pkinase_Tyr
chr1	231076233	231090084	TPR_8
chr1	231339638	231342508	fn3
chr1	236189316	236201404	G2F
chr1	237205848	237550670	Ins145_P3_rec
chr1	237617763	237656370	RYDR_ITPR
chr1	237756775	237765402	SPRY
chr1	240371961	240601469	FH2
chr1	241695771	241749995	FAD_binding_3
chr1	241695780	241712981	NAD_binding_8
chr1	242264060	242383292	PLDc_3
chr1	242287904	242451747	PLDc_2
chr1	243419490	243663060	CCCAP
chr1	243708847	243801026	Pkinase
chr1	243708898	243801023	Pkinase_Tyr
chr1	243809308	244006454	PH
chr1	244572899	244615029	Adenylsucc_synt
chr1	244816633	244868950	Peptidase_C97
chr1	245704246	245772749	Microtub_bd
chr1	246498743	246670375	zf-MYND
chr1	247062779	247081672	ELYS-bb
chr1	69168	69972	7tm_4
chr1	69183	69816	7TM_GPCR_Srsx
chr1	69189	69930	7tm_1
chr1	138649	138757	DUF4705
chr1	138787	138937	DUF4705
chr1	139042	139279	DUF4705
chr1	139282	139420	DUF4705
chr1	139435	139570	DUF4705
chr1	139573	139657	DUF4705
chr1	324477	324649	DUF4705
chr1	324564	324852	DUF4705
chr1	324714	324852	DUF4705
chr1	324855	325095	DUF4705
chr1	325071	325485	DUF4705
chr1	327772	327814	DUF4705
chr1	327832	327874	DUF4705
chr1	327931	328075	DUF4705
chr1	367751	368564	7tm_4
chr1	367778	368363	7tm_1
chr1	621128	621941	7tm_4
chr1	621329	621914	7tm_1
chr1	664514	664577	DUF4705
chr1	664583	664829	DUF4705
chr1	664832	664940	DUF4705
chr1	664973	665096	DUF4705
chr1	878691	879290	SAM_1
chr1	878694	879188	SAM_2
chr1	881603	888575	Noc2
chr1	896811	897280	BTB
chr1	897295	898140	BACK
chr1	898281	898574	Kelch_1
chr1	898577	898795	Kelch_1
chr1	898580	898798	Kelch_6
chr1	898801	899354	Kelch_1
chr1	899357	899758	Kelch_1
chr1	899764	899902	Kelch_1
chr1	899767	900343	Kelch_6
chr1	899797	900355	Kelch_3
chr1	899905	900472	Kelch_1
chr1	899908	900469	Kelch_2
chr1	934663	934780	Hairy_orange
chr1	934924	935251	HLH
chr1	949372	949591	ubiquitin
chr1	949408	949504	Ubiquitin_2
chr1	949609	949825	ubiquitin
chr1	955642	957817	NtA
chr1	976124	976259	Kazal_1
chr1	976127	976259	Kazal_2
chr1	976638	976776	Kazal_2
chr1	976940	977072	Kazal_2
chr1	976940	977072	Kazal_1
chr1	977394	977541	Kazal_2
chr1	977409	977541	Kazal_1
chr1	978698	978836	Kazal_2
chr1	978710	978836	Kazal_1
chr1	978976	979111	Kazal_2
chr1	978985	979111	Kazal_1
chr1	979258	979396	Kazal_2
chr1	979288	979396	Kazal_1
chr1	979601	979815	Kazal_2
chr1	979631	979815	Kazal_1
chr1	980743	980872	Laminin_EGF
chr1	981114	981231	Laminin_EGF
chr1	981441	981641	Kazal_2
chr1	981441	981641	Kazal_1
chr1	982720	983229	SEA
chr1	983636	983729	EGF
chr1	984338	985015	Laminin_G_2
chr1	984338	985021	Laminin_G_1
chr1	985831	986856	Laminin_G_1
chr1	985837	986847	Laminin_G_2
chr1	989169	990295	Laminin_G_2
chr1	989172	990307	Laminin_G_1
chr1	1007634	1007802	zf-C3HC4_3
chr1	1007637	1007799	zf-RING_5
chr1	1007640	1007799	zf-RING_2
chr1	1007643	1007796	zf-C3HC4
chr1	1007685	1007796	zf-RING_UBOX
chr1	1018275	1026854	DUF4501
chr1	1019733	1026854	DUF4501
chr1	1117753	1132822	TTL
chr1	1147457	1148073	TNFR_c6
chr1	1148420	1149112	TNFR_c6
chr1	1149118	1149417	TNFR_c6
chr1	1153178	1153885	EF-hand_5
chr1	1158708	1159251	EF-hand_8
chr1	1158711	1163873	EF-hand_7
chr1	1158711	1159242	EF-hand_5
chr1	1167868	1168435	Galactosyl_T
chr1	1192410	1203327	UQ_con
chr1	1221425	1226720	ASC
chr1	1229489	1229859	Ank_5
chr1	1229519	1229814	Ank
chr1	1229528	1229817	Ank_3
chr1	1231260	1231932	ArfGap
chr1	1233243	1234005	PH
chr1	1235240	1243189	BAR_3
chr1	1244077	1244873	PseudoU_synth_1
chr1	1245088	1246441	PseudoU_synth_1
chr1	1248060	1248329	RMMBL
chr1	1248456	1249715	Beta-Casp
chr1	1250323	1258557	Lactamase_B_6
chr1	1250341	1256417	Lactamase_B_2
chr1	1254861	1256459	Lactamase_B
chr1	1262371	1263026	GLTP
chr1	1267039	1268411	ANF_receptor
chr1	1267231	1267832	Peripla_BP_6
chr1	1268641	1268926	NCD3G
chr1	1269028	1269733	7tm_3
chr1	1271554	1273649	Dsh_C
chr1	1273664	1273959	DEP
chr1	1275010	1275642	PDZ
chr1	1275654	1277837	Dishevelled
chr1	1277861	1284439	DIX
chr1	1290137	1290497	V-set
chr1	1290630	1291091	V-set
chr1	1309406	1309499	DUF1713
chr1	1325838	1328828	Cyclin_C
chr1	1330794	1334476	Cyclin_N
chr1	1337564	1342555	Ribosomal_L20
chr1	1354584	1354674	Ank
chr1	1354587	1354863	Ank_2
chr1	1354614	1354872	Ank_4
chr1	1354686	1354776	Ank
chr1	1354692	1354776	Ank_3
chr1	1354752	1355518	Ank_5
chr1	1354782	1354878	Ank
chr1	1354812	1355566	Ank_4
chr1	1355578	1355767	Ank_2
chr1	1355593	1355761	Ank_4
chr1	1355746	1356208	Ank_5
chr1	1355776	1355863	Ank
chr1	1355782	1356253	Ank_2
chr1	1355800	1355962	Ank_4
chr1	1355869	1355962	Ank
chr1	1355881	1355962	Ank_3
chr1	1372332	1372815	VWA
chr1	1372335	1372668	VWA_2
chr1	1374468	1374675	fn3
chr1	1374831	1375053	fn3
chr1	1387443	1389832	DUF3523
chr1	1391194	1391658	RuvB_N
chr1	1391248	1396214	AAA
chr1	1407375	1420503	DUF3523
chr1	1421567	1425721	AAA
chr1	1447759	1458231	DUF3523
chr1	1452684	1458231	DUF3523
chr1	1459296	1463159	AAA
chr1	1470741	1475726	TMEM240
chr1	1477448	1509922	Ssu72
chr1	1558865	1559063	MIB_HERC2
chr1	1559161	1559278	ZZ
chr1	1560232	1561012	MIB_HERC2
chr1	1562554	1563506	Ank_2
chr1	1562563	1562816	Ank_5
chr1	1562693	1563083	Ank_4
chr1	1562792	1563113	Ank
chr1	1563077	1563425	Ank_5
chr1	1563122	1563446	Ank_4
chr1	1563122	1563203	Ank_3
chr1	1563125	1563401	Ank
chr1	1563419	1563895	Ank_2
chr1	1563521	1563773	Ank_4
chr1	1563686	1564024	Ank_5
chr1	1563707	1563889	Ank_3
chr1	1563707	1563895	Ank
chr1	1563907	1564039	Ank_4
chr1	1564870	1565068	zf-C3HC4_3
chr1	1565769	1565889	zf-C3HC4_3
chr1	1568263	1569369	Peptidase_M10
chr1	1568691	1569134	YXWGXW
chr1	1569369	1569474	ShK
chr1	1569618	1569965	Ig_2
chr1	1597331	1607874	UAA
chr1	1597334	1607919	TPT
chr1	1632588	1632693	ShK
chr1	1632837	1633185	Ig_2
chr1	1634644	1637141	Pkinase
chr1	1635271	1637141	Pkinase_Tyr
chr1	1636336	1637141	Pkinase
chr1	1669760	1670777	TPT
chr1	1684459	1688694	NAD_kinase
chr1	1718772	1718874	WD40
chr1	1720513	1720630	WD40
chr1	1720645	1721884	WD40
chr1	1721896	1722013	WD40
chr1	1722022	1735879	WD40
chr1	1735912	1735993	WD40
chr1	1737931	1747256	WD40
chr1	1847948	1848231	EF-hand_8
chr1	1848261	1848327	EF-hand_8
chr1	1848264	1848602	EF-hand_7
chr1	1848267	1848425	EF-hand_6
chr1	1848431	1848605	EF-hand_8
chr1	1848452	1848605	EF-hand_1
chr1	1849404	1850503	TMEM52
chr1	1956444	1960596	Neur_chan_LBD
chr1	1960620	1961451	Neur_chan_memb
chr1	1982114	1990987	PB1
chr1	2066756	2075774	C1_1
chr1	2116081	2116409	Pkinase_C
chr1	2121156	2125118	UBZ_FAAP20
chr1	2125130	2125532	FANCA_interact
chr1	2160463	2160775	Ski_Sno
chr1	2160853	2161138	c-SKI_SMAD_bind
chr1	2305951	2316491	MORN
chr1	2316494	2317301	MORN
chr1	2317304	2318891	MORN
chr1	2318894	2318960	MORN
chr1	2319681	2319741	MORN
chr1	2319744	2322903	MORN
chr1	2321409	2322903	MORN
chr1	2327292	2334527	Rer1
chr1	2337234	2338018	Prok-RING_4
chr1	2337246	2338024	zf-C3HC4_3
chr1	2337252	2338018	zf-RING_2
chr1	2337255	2338018	zf-C3HC4_2
chr1	2337255	2338018	zf-C3HC4
chr1	2337934	2338018	zf-RING_UBOX
chr1	2338208	2343890	Pex2_Pex12
chr1	2409919	2411363	PH_12
chr1	2411622	2415952	EF-hand_7
chr1	2411628	2411691	EF-hand_5
chr1	2415940	2418661	EF-hand_like
chr1	2418682	2421210	PI-PLC-X
chr1	2428085	2429972	PI-PLC-Y
chr1	2430011	2431081	C2
chr1	2440333	2447024	DUF89
chr1	2449970	2457918	Fumble
chr1	2461045	2461150	Hairy_orange
chr1	2461291	2461552	HLH
chr1	2518625	2520392	AhpC-TSA_2
chr1	2522434	2525857	Peptidase_M13
chr1	2526765	2541232	Peptidase_M13_N
chr1	2572911	2573103	TPR_16
chr1	2575858	2576804	TPR_16
chr1	2575864	2576762	TPR_8
chr1	2575885	2576765	TPR_4
chr1	2938271	2939381	Actin
chr1	3319362	3319428	zf-C2H2_6
chr1	3319518	3321327	zf-C2H2
chr1	3321342	3321411	zf-C2H2
chr1	3321426	3322106	zf-C2H2
chr1	3322121	3322190	zf-C2H2
chr1	3322205	3328009	zf-C2H2
chr1	3328030	3328090	zf-C2H2
chr1	3334550	3335291	zf-C2H2_6
chr1	3334550	3335288	zf-C2H2_4
chr1	3334550	3335288	zf-C2H2
chr1	3335303	3342211	zf-C2H2
chr1	3342226	3342295	zf-C2H2
chr1	3385999	3392551	RhoGEF
chr1	3394480	3396117	PH
chr1	3396401	3397070	SH3_9
chr1	3396401	3397061	SH3_1
chr1	3410662	3411022	Laminin_EGF
chr1	3413321	3413642	Laminin_EGF
chr1	3413657	3413884	Laminin_EGF
chr1	3413818	3413878	hEGF
chr1	3414956	3415016	hEGF
chr1	3415283	3415343	hEGF
chr1	3415723	3415783	hEGF
chr1	3416381	3416441	hEGF
chr1	3416444	3417287	Laminin_EGF
chr1	3421880	3422079	Laminin_EGF
chr1	3422750	3424446	Laminin_EGF
chr1	3424383	3424440	hEGF
chr1	3425143	3425203	hEGF
chr1	3426437	3426545	FXa_inhibition
chr1	3426437	3427347	EGF_CA
chr1	3427356	3428114	EGF_CA
chr1	3428117	3428225	FXa_inhibition
chr1	3428573	3431114	EGF_CA
chr1	3428681	3431168	cEGF
chr1	3431969	3432080	FXa_inhibition
chr1	3440691	3440799	FXa_inhibition
chr1	3440691	3496389	EGF_CA
chr1	3440718	3440772	hEGF
chr1	3541822	3544097	hSac2
chr1	3551593	3551852	ANAPC4_WD40
chr1	3551629	3551828	WD40
chr1	3624265	3644276	P53
chr1	3644739	3645965	P53_tetramer
chr1	3647600	3649379	SAM_2
chr1	3691943	3692479	DUF4731
chr1	3698102	3701731	B3_4
chr1	3703775	3712434	LRR_4
chr1	3703778	3712500	LRR_8
chr1	3703835	3712434	LRR_1
chr1	3703847	3712437	LRR_6
chr1	3712518	3712746	LRR_8
chr1	3712521	3712581	LRR_1
chr1	3712608	3712746	LRR_4
chr1	3774182	3775404	CIDE-N
chr1	3782434	3800257	DFF40
chr1	3806544	3809560	UPF0688
chr1	4772470	4834487	AJAP1_PANP_C
chr1	6132848	6158592	Aldo_ket_red
chr1	6166708	6171887	CHDCT2
chr1	6184122	6185832	DUF1086
chr1	6186635	6188108	DUF1087
chr1	6189102	6194256	Helicase_C
chr1	6194795	6202563	SNF2_N
chr1	6196638	6202611	ResIII
chr1	6204127	6206297	Chromo
chr1	6206928	6209045	PHD
chr1	6209129	6209434	PHD
chr1	6214864	6215717	CHDNT
chr1	6246746	6257783	Ribosomal_L22e
chr1	6266667	6266784	zf-C3HC4
chr1	6267532	6269048	zf-B_box
chr1	6269485	6270328	Apolipoprotein
chr1	6304425	6304676	HLH
chr1	6313795	6314884	7tm_1
chr1	6341266	6378570	4HBT
chr1	6399496	6409895	4HBT
chr1	6479085	6479202	Hairy_orange
chr1	6479331	6479841	HLH
chr1	6485036	6488294	Ank_2
chr1	6485228	6488363	Ank_4
chr1	6485279	6488426	Ank_5
chr1	6488300	6488384	Ank_3
chr1	6488300	6488396	Ank
chr1	6488312	6500808	Ank_2
chr1	6488411	6500688	Ank_4
chr1	6500335	6500428	Ank_3
chr1	6500335	6500431	Ank
chr1	6500437	6500694	Ank
chr1	6500440	6500790	Ank_4
chr1	6500452	6501041	Ank_2
chr1	6500724	6500814	Ank
chr1	6500784	6501068	Ank_5
chr1	6500829	6501107	Ank_4
chr1	6500829	6501041	Ank
chr1	6511688	6511766	WH2
chr1	6521514	6521748	Death
chr1	6524729	6525226	TNFR_c6
chr1	6530667	6532646	RhoGEF
chr1	6592740	6604947	CLP1_P
chr1	6631002	6636588	ANF_receptor
chr1	6631194	6635239	Peripla_BP_6
chr1	6637012	6638753	NCD3G
chr1	6638852	6639560	7tm_3
chr1	6640714	6641014	BTB
chr1	6646000	6646060	zf-C2H2
chr1	6646757	6646826	zf-C2H2
chr1	6646841	6647330	zf-C2H2_4
chr1	6646841	6647330	zf-C2H2
chr1	6648132	6648201	zf-C2H2
chr1	6648216	6648369	zf-C2H2_6
chr1	6648216	6648366	zf-C2H2
chr1	6648381	6648453	zf-C2H2_4
chr1	6648471	6648850	zf-C2H2_4
chr1	6648471	6648850	zf-C2H2
chr1	6648865	6649005	zf-C2H2_4
chr1	6648865	6649005	zf-C2H2
chr1	6648871	6649002	zf-C2H2_11
chr1	6653547	6653688	Kelch_3
chr1	6653571	6653715	Kelch_6
chr1	6653577	6653712	Kelch_2
chr1	6653583	6653706	Kelch_1
chr1	6659396	6661878	Kelch_3
chr1	6659417	6661899	Kelch_6
chr1	6659429	6661899	Kelch_4
chr1	6659429	6661899	Kelch_1
chr1	6661917	6662016	Kelch_1
chr1	6662160	6662466	BACK
chr1	6662481	6662805	BTB
chr1	6681496	6681631	PHD
chr1	6685290	6688730	THAP
chr1	6696183	6704622	DUF3395
chr1	6738492	6761821	DnaJ
chr1	7811279	7811339	IQ
chr1	7811348	7811393	IQ
chr1	7833529	7839696	Synaptobrevin
chr1	7861201	7863903	PAS_11
chr1	7861231	7863888	PAS
chr1	7861234	7863891	PAS_3
chr1	7890166	7902770	Period_C
